    No.          t         t-<t>     (t-<t>)^2  
------------------------------------------------
     1          6.33       0.2232      0.0498   
     2          6.0       -0.1068      0.0114   
     3          5.78      -0.3268      0.1068   
     4          6.04      -0.0668      0.0045   
     5          6.08      -0.0268      0.0007   
     6          6.23       0.1232      0.0152   
     7          5.94      -0.1668      0.0278   
     8          5.96      -0.1468      0.0216   
     9          6.16       0.0532      0.0028   
     10         5.9       -0.2068      0.0428   
     11         6.1       -0.0068       0.0     
     12         6.19       0.0832      0.0069   
     13         6.31       0.2032      0.0413   
     14         6.1       -0.0068       0.0     
     15         6.26       0.1532      0.0235   
     16         5.98      -0.1268      0.0161   
     17         5.88      -0.2268      0.0514   
     18         5.94      -0.1668      0.0278   
     19         6.08      -0.0268      0.0007   
     20         6.21       0.1032      0.0107   
     21         6.02      -0.0868      0.0075   
     22         6.06      -0.0468      0.0022   
     23         6.1       -0.0068       0.0     
     24         5.93      -0.1768      0.0313   
     25         6.19       0.0832      0.0069   
     26         5.85      -0.2568      0.0659   
     27         5.5       -0.6068      0.3682   
     28         5.56      -0.5468      0.299    
     29         6.52       0.4132      0.1707   
     30         6.03      -0.0768      0.0059   
     31         5.96      -0.1468      0.0216   
     32         6.26       0.1532      0.0235   
     33         6.15       0.0432      0.0019   
     34         5.9       -0.2068      0.0428   
     35         6.23       0.1232      0.0152   
     36         6.1       -0.0068       0.0     
     37         5.83      -0.2768      0.0766   
     38         5.43      -0.6768      0.4581   
     39         6.36       0.2532      0.0641   
     40         6.06      -0.0468      0.0022   
     41         6.9        0.7932      0.6292   
     42         6.44       0.3332      0.111    
     43         6.26       0.1532      0.0235   
     44         6.15       0.0432      0.0019   
     45         6.24       0.1332      0.0177   
     46         6.2        0.0932      0.0087   
     47         6.4        0.2932      0.086    
     48         6.42       0.3132      0.0981   
     49         6.39       0.2832      0.0802   
     50         6.43       0.3232      0.1045   

**max = 6.9
**min = 5.43
**range = 1.47
**average = 6.1068
**sigma = 0.2563669245437094
